#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-46689.417466,200,9956.595589
-41003.405395,200,9967.655675
-81834.63732,200,9978.7023
-42856.503519,200,9989.760261
-46090.108223,200,10000.826669
-34789.349186,200,10011.881757
-36091.661931,200,10022.938871
-32187.533872,200,10034.071957
-49685.847542,200,10045.128163
-75492.576036,200,10056.175741
-38247.043797,200,10067.237097
-63770.939425,200,10078.306364
-32965.975149,200,10089.359005
-55566.700794,200,10100.42519
-49950.172574,200,10111.465643
-32087.869972,200,10122.542866
-84335.945393,200,10133.596747
-47122.585091,200,10144.640519
-66607.191782,200,10155.724753
-29407.011025,200,10166.776905
-38864.140002,200,10177.827531
-29140.503168,200,10188.887804
